"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","200","BK-395: should reject cross-workspace finish","integration","2026-08-29","passed","2026-08-29","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","324","BK-396: should handle bug-driven finish","integration","2026-08-29","passed","2026-08-29","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","114","BK-408: should reject unauthenticated reorder","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","617","BK-352: should switch between 7d/30d/90d windows","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Positive","integration/heatmap-defects/heatmapPositive.test.ts","",""
"","212","BK-345: should accept evidence links without limit","integration","2026-08-29","passed","2026-08-29","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","250","BK-415: should be retry-safe","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","195","BK-341: should reject non-failed step action","integration","2026-08-29","passed","2026-08-29","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","189","BK-358: should handle prev 0 / curr > 0 (pct: null)","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Trend","integration/heatmap-defects/heatmapTrend.test.ts","",""
"","202","BK-361: should show parent rollup via path-prefix","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Hierarchy","integration/heatmap-defects/heatmapHierarchy.test.ts","",""
"","204","BK-409: should reject viewer role reorder","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","176","BK-431: should reject tag with comma","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","554","BK-379: should be idempotent","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","176","BK-412: should reject duplicate ATC IDs","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","176","BK-430: should reject too many tags","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","308","BK-377: should start run with executor type","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","340","BK-390: should bump version","integration","2026-08-29","passed","2026-08-29","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","199","BK-320: should list runs happy path","integration","2026-08-29","passed","2026-08-29","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
"","194","BK-359: should handle 0/0 flat (pct: 0)","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Trend","integration/heatmap-defects/heatmapTrend.test.ts","",""
"","159","BK-384: should reject empty test id","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","122","BK-326: should reject unauthenticated","integration","2026-08-29","passed","2026-08-29","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
"","201","BK-366: should return fresh data via live RPC (no MV)","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Integration","integration/heatmap-defects/heatmapIntegration.test.ts","",""
"","232","BK-414: should log reorder activity","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","186","BK-411: should reject chain mismatch","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","180","BK-342: should reject invalid title length","integration","2026-08-29","passed","2026-08-29","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","156","BK-344: should reject invalid severity","integration","2026-08-29","passed","2026-08-29","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","421","BK-405: should persist reordered ATCs","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","242","BK-367: should return generated_at timestamp","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Integration","integration/heatmap-defects/heatmapIntegration.test.ts","",""
"","194","BK-427: should replace tags","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","191","BK-354: should verify UTC half-open window (start included)","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Positive","integration/heatmap-defects/heatmapPositive.test.ts","",""
"","182","BK-360: should handle curr 0 / prev > 0 (trend is negative)","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Trend","integration/heatmap-defects/heatmapTrend.test.ts","",""
"","185","BK-323: should show totals","integration","2026-08-29","passed","2026-08-29","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
"","1652","UPEX-200: should load dashboard with authenticated session","e2e","2026-08-29","passed","2026-08-29","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","216","BK-436: should filter tests by tag","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","251","BK-385: should reject empty environment id","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","258","BK-432: should handle duplicate tags","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","194","BK-363: should show hotspot not color-only (count + tag + legend)","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Visual/a11y","integration/heatmap-defects/heatmapVisual.test.ts","",""
"","209","BK-321: should list runs newest first","integration","2026-08-29","passed","2026-08-29","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
"","192","BK-355: should verify end boundary excluded","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Positive","integration/heatmap-defects/heatmapPositive.test.ts","",""
"","115","BK-394: should reject unauthenticated finish","integration","2026-08-29","passed","2026-08-29","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","305","BK-380: should reject invalid test","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","203","BK-351: should get heatmap with default 30d window","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Positive","integration/heatmap-defects/heatmapPositive.test.ts","",""
"","202","BK-364: should show trend as word + delta + icon label","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Visual/a11y","integration/heatmap-defects/heatmapVisual.test.ts","",""
"","734","BK-386: should reject duplicate idempotency key","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","120","BK-368: should reject unauthenticated request (401)","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Security","integration/heatmap-defects/heatmapSecurity.test.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-08-29","passed","2026-08-29","","setup/global.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-29","passed","2026-08-29","","teardown/global.teardown.ts","",""
"","345","BK-388: should finish run successfully","integration","2026-08-29","passed","2026-08-29","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","287","BK-375: should start run successfully","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","206","BK-407: should handle single ATC no-op","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","136","UPEX-100: should fail without token","integration","2026-08-29","passed","2026-08-29","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","184","BK-322: should list terminal runs only","integration","2026-08-29","passed","2026-08-29","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
"","194","BK-353: should hide archived modules","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Positive","integration/heatmap-defects/heatmapPositive.test.ts","",""
"","203","BK-410: should handle version conflict","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","227","BK-343: should reject missing module","integration","2026-08-29","passed","2026-08-29","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","723","BK-387: should reject conflicting idempotency key","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","206","BK-434: should trim custom tags","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","772","UPEX-200: should access user info via API with session token","e2e","2026-08-29","passed","2026-08-29","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","198","BK-369: should reject non-member access (404)","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Security","integration/heatmap-defects/heatmapSecurity.test.ts","",""
"","198","BK-365: should show full module_path to disambiguate duplicate names","integration","2026-08-29","passed","2026-08-29","BK-42: Heatmap - Visual/a11y","integration/heatmap-defects/heatmapVisual.test.ts","",""
"","249","BK-435: should enforce max length","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","186","BK-324: should handle invalid test","integration","2026-08-29","passed","2026-08-29","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
"","183","BK-417: should view test with ATCs","integration","2026-08-29","passed","2026-08-29","BK-32: View ATCs","integration/test-builder/viewAtcs.test.ts","",""
"","190","BK-421: should return 404 for missing test","integration","2026-08-29","passed","2026-08-29","BK-32: View ATCs","integration/test-builder/viewAtcs.test.ts","",""
"","282","BK-429: should reject invalid tag format","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","316","UPEX-100: should be able to re-authenticate","integration","2026-08-29","passed","2026-08-29","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","190","BK-433: should normalize reserved tags to lowercase","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","286","BK-338: should reject invalid run_step_id","integration","2026-08-29","passed","2026-08-29","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","200","BK-426: should assign custom tags","integration","2026-08-29","passed","2026-08-29","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","119","BK-382: should reject unauthenticated","integration","2026-08-29","passed","2026-08-29","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","210","BK-406: should detect no-op reorder","integration","2026-08-29","passed","2026-08-29","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
