"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","BK-406: should detect no-op reorder","integration","2026-09-19","passed","2026-09-19","BK-28: Reorder ATCs","integration/test-builder/reorderAtcs.test.ts","",""
"","260","BK-425: should assign reserved tags","integration","2026-09-19","passed","2026-09-19","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","277","BK-432: should handle duplicate tags","integration","2026-09-19","passed","2026-09-19","BK-33: Test Tags","integration/test-builder/testTags.test.ts","",""
"","376","BK-393: should integrate with run lifecycle","integration","2026-09-19","passed","2026-09-19","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","194","BK-370: should reject unsupported window (400/401)","integration","2026-09-19","passed","2026-09-19","BK-42: Heatmap - Negative","integration/heatmap-defects/heatmapNegative.test.ts","",""
"","387","BK-417: should view test with ATCs","integration","2026-09-19","passed","2026-09-19","BK-32: View ATCs","integration/test-builder/viewAtcs.test.ts","",""
"","379","BK-389: should set finished_at","integration","2026-09-19","passed","2026-09-19","BK-39: Run Finish","integration/run-execution/runFinish.test.ts","",""
"","351","BK-364: should show trend as word + delta + icon label","integration","2026-09-19","passed","2026-09-19","BK-42: Heatmap - Visual/a11y","integration/heatmap-defects/heatmapVisual.test.ts","",""
"","253","BK-424: should meet performance target","integration","2026-09-19","passed","2026-09-19","BK-32: View ATCs","integration/test-builder/viewAtcs.test.ts","",""
"","446","BK-375: should start run successfully","integration","2026-09-19","passed","2026-09-19","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-19","passed","2026-09-19","","teardown/global.teardown.ts","",""
"","264","BK-351: should get heatmap with default 30d window","integration","2026-09-19","passed","2026-09-19","BK-42: Heatmap - Positive","integration/heatmap-defects/heatmapPositive.test.ts","",""
"","338","UPEX-100: should fail without token","integration","2026-09-19","passed","2026-09-19","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","178","BK-368: should reject unauthenticated request (401)","integration","2026-09-19","passed","2026-09-19","BK-42: Heatmap - Security","integration/heatmap-defects/heatmapSecurity.test.ts","",""
"","770","API Setup: authenticate via API","api-setup","2026-09-19","passed","2026-09-19","","setup/api-auth.setup.ts","",""
"","271","BK-343: should reject missing module","integration","2026-09-19","passed","2026-09-19","BK-40: Defect Filing","integration/heatmap-defects/defectFiling.test.ts","",""
"","252","BK-363: should show hotspot not color-only (count + tag + legend)","integration","2026-09-19","passed","2026-09-19","BK-42: Heatmap - Visual/a11y","integration/heatmap-defects/heatmapVisual.test.ts","",""
"","448","BK-362: should show child keeps own non-collapsed cell","integration","2026-09-19","passed","2026-09-19","BK-42: Heatmap - Hierarchy","integration/heatmap-defects/heatmapHierarchy.test.ts","",""
"","975","BK-386: should reject duplicate idempotency key","integration","2026-09-19","passed","2026-09-19","BK-34: Run Execution Start","integration/run-execution/runStart.test.ts","",""
"","280","BK-321: should list runs newest first","integration","2026-09-19","passed","2026-09-19","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
"","299","BK-357: should show falling trend with negative percent","integration","2026-09-19","passed","2026-09-19","BK-42: Heatmap - Trend","integration/heatmap-defects/heatmapTrend.test.ts","",""
"","258","BK-325: should integrate with test","integration","2026-09-19","passed","2026-09-19","BK-38: Run Reporting","integration/run-execution/runReporting.test.ts","",""
